Client,Sent,Received,Transfer Time
5,10,10,0.000000
1,10,10,0.000000
3,10,10,0.000000
7,10,10,0.000000
10,10,10,0.000000
6,10,10,0.000000
2,10,10,0.000000
4,10,10,0.000000
8,10,10,0.000000
9,10,10,0.000000
